Segmento,Respostas,Conhecimento Tecnológico,Conhecimento Pedagógico,Conhecimento de Conteúdo,Conhecimento Pedagógico do Conteúdo,Conhecimento Tecnológico do Conteúdo,Conhecimento Tecnológico Pedagógico,TPACK,Avaliação e Reflexão
Anos Finais,7,3.4,3.6,4.2,3.9,3.5,3.6,3.8,3.6
Anos Iniciais,1,2.0,3.0,3.5,3.0,2.0,2.0,2.3,2.5
